num_of_transactions,most_popular_payment_id,extra_payment_plans_total,extra_payment_plans_count,avg_plan_list_price,avg_actual_amount_paid,is_auto_renew_total,is_cancel_total,left_payment_seconds_total,avg_transaction_days_diff,max_transaction_days_diff,min_transaction_days_diff,avg_expire_days_diff,max_expire_days_diff,min_expire_days_diff,most_popular_transaction_days,least_popular_transaction_days,most_popular_transaction_season,least_popular_transaction_season,most_popular_expire_days,least_popular_expire_days,most_popular_expire_season,least_popular_expire_season,msno,payment_id_is_always_auto_renew
1,41,0,0,99.0,99.0,1,0,0,28.0,28.0,28.0,30.0,30.0,30.0,2,2,2,2,2,2,2,2,FNkEx8Gr8wD2deiHhgtTmpHQJc2z/hOWIdAn4V5Aql0=,40
1,41,0,0,99.0,99.0,1,0,0,26.0,26.0,26.0,20.0,20.0,20.0,2,2,2,2,2,2,2,2,Gze5yixsvuyU2HhmckAcMpJBFd+KLuC9Vdh9Leu3tyA=,40
1,38,0,0,149.0,149.0,0,0,60,692.0,692.0,692.0,36.0,36.0,36.0,1,1,2,2,3,3,2,2,Hbb5idVPtcNsOEHgU9clx77ykFkRuERYzWPnGw3QwcY=,34
3,40,0,0,149.0,149.0,3,0,-56,18.666666666666668,40.0,8.0,15.333333333333334,24.0,6.0,3,3,2,1,2,2,3,2,JFoTDma0vyl58SiqnNpu1oEpai8+qIo+eW/l8QO80ik=,38
2,41,0,0,129.0,129.0,2,1,-54,25.0,32.0,18.0,33.0,44.0,22.0,3,1,2,1,1,1,2,2,KXCxo8sejCDuvBs8bi9m36oegDWvXbWJ5jbP58V3m4g=,40
1,41,0,0,149.0,149.0,1,0,2,710.0,710.0,710.0,8.0,8.0,8.0,2,2,2,2,2,2,2,2,LjQ1/CEfHGdevn+ADstNJDK/QeZHw5OIMdOXfhwtSdE=,40
1,41,0,0,99.0,99.0,1,0,0,14.0,14.0,14.0,10.0,10.0,10.0,1,1,2,2,1,1,2,2,My7RYCkesvUA/dipXubDIHy/aaXQXCXk+p7jWqVp8bQ=,40
1,41,0,0,99.0,99.0,1,0,0,690.0,690.0,690.0,18.0,18.0,18.0,1,1,2,2,1,1,2,2,NNqTxsLYCSUbb/Cq84xUtf1C/gq2emn/9kjewN15ImQ=,40
1,41,0,0,149.0,149.0,1,0,0,1476.0,1476.0,1476.0,18.0,18.0,18.0,3,3,2,2,3,3,2,2,Quxg+nju86ZtRNA1alpykXPpWPd+hBv16W5DpQ6pRv4=,40
1,41,0,0,99.0,99.0,1,0,0,34.0,34.0,34.0,34.0,34.0,34.0,3,3,2,2,3,3,2,2,TWNEWbLr3WUT+zviM2kf9iqzSPQAmIeIEfgSTRsmQtQ=,40
1,41,0,0,99.0,99.0,1,0,0,8.0,8.0,8.0,6.0,6.0,6.0,3,3,2,2,3,3,2,2,UOpidQQ9MaGD7/ngIJEmQkNDVpdBtBVvUN/GckTNf20=,40
1,13,410,1,1788.0,1788.0,0,0,698,8.0,8.0,8.0,704.0,704.0,704.0,2,2,2,2,1,1,2,2,WVAoxOZNkknM9ozNDPadi1MREJa0TUkesUWiKkVBSFg=,2
1,41,0,0,99.0,99.0,1,0,0,28.0,28.0,28.0,28.0,28.0,28.0,1,1,2,2,1,1,2,2,Wc7VDUqjK3qxx2y9w9xxsJ2wekMeO9IIc0AUXkaTLk8=,40
1,33,0,0,149.0,149.0,1,1,0,4.0,4.0,4.0,4.0,4.0,4.0,2,2,2,2,2,2,2,2,XKIMzfCQvBBOpJ+ug7c76wT1PnFZmHDi/Szq0pxDp5g=,26
1,32,195,1,894.0,894.0,0,0,-26,38.0,38.0,38.0,48.0,48.0,48.0,2,2,2,2,1,1,4,4,XZ5OUw4s3Oszu01LaxHzlibxReXAfdnqXyM9eDM6dk0=,24
2,39,0,0,149.0,149.0,2,1,-18,27.0,40.0,14.0,28.0,34.0,22.0,3,3,2,1,3,3,2,2,ZSj9Jd0qZXZTvuvytqZlCCSEitZ/85f+dbMKbESm0og=,36
1,38,0,0,149.0,149.0,0,0,-2,1488.0,1488.0,1488.0,26.0,26.0,26.0,3,3,2,2,3,3,2,2,aFs/VoUIaTPBkkHIiPHI3SFaepuvygV6skWps+uJfCs=,34
1,40,0,0,149.0,149.0,1,0,4,4.0,4.0,4.0,18.0,18.0,18.0,3,3,2,2,3,3,2,2,bpVLW1hpiIGAo9k+nMJb1AK+YbsuXV8/hdZXNzeBYeM=,38
1,34,0,0,149.0,149.0,1,0,-2,0.0,0.0,0.0,54.0,54.0,54.0,3,3,2,2,3,3,2,2,cQ8YDpwi2ESqcCabC1Hg9Es8oZ5AGen9cigEYBZDOlE=,28
2,39,0,0,149.0,149.0,2,0,-70,39.0,44.0,34.0,7.0,12.0,2.0,3,3,2,1,2,2,2,2,eQ+sq1/xI9gVz93WOzkTTHD44rxVW8ozJFy+K7nauhU=,36
2,40,0,0,149.0,149.0,2,1,-24,734.0,1464.0,4.0,16.0,30.0,2.0,2,1,2,2,1,1,2,2,glgizk3qGBj/pjm74DfOt3xtE0WOivBBIJF4h+Ptcnc=,38
1,41,0,0,99.0,99.0,1,0,-2,18.0,18.0,18.0,12.0,12.0,12.0,3,3,2,2,3,3,2,2,hhHtr2wM0c7WX23K9wYXHHt5vHgRb58KCM+WKWAPVdM=,40
1,41,0,0,99.0,99.0,1,0,-2,56.0,56.0,56.0,52.0,52.0,52.0,3,3,2,2,3,3,2,2,lx1hDXedhN7btf5pUUH9Vx+Gubt/gq9pLqQVDprvhhE=,40
4,31,0,0,149.0,149.0,4,0,558,389.5,764.0,6.0,191.0,742.0,4.0,3,3,2,1,1,1,3,2,mVqhmdwwg8fBbwkNVrzKxKxjD4v9MuTIwdK49O6Kktk=,23
1,32,180,1,536.0,536.0,0,0,-8,1464.0,1464.0,1464.0,744.0,744.0,744.0,2,2,2,2,2,2,4,4,n9KBqWG05RtC8N2dFpJmGxVhtWKej6n+qqPD0UW7yp0=,24
1,40,0,0,149.0,149.0,1,0,-2,2.0,2.0,2.0,762.0,762.0,762.0,2,2,2,2,2,2,2,2,oWDeGUmC0qa3/9qYQxkk2IyCZ7EUzvCJpizpKXzjHYk=,38
1,38,410,1,1788.0,1788.0,0,0,698,20.0,20.0,20.0,702.0,702.0,702.0,3,3,2,2,1,1,2,2,pgTWHdc6Ly2LWaXDxc+pcEXSY1QlsjdDcsXww/AT1D0=,34
1,38,410,1,1788.0,1788.0,0,0,760,10.0,10.0,10.0,752.0,752.0,752.0,1,1,2,2,2,2,2,2,qlpnAezUTop8PC1dOTYtyhyZIF//gRv1Sg9Aeoj8nzM=,34
1,40,0,0,149.0,149.0,1,0,4,28.0,28.0,28.0,22.0,22.0,22.0,2,2,2,2,2,2,2,2,s3o/SVVgIuQc6LMk5hPPboBhqIXS5pj6XcJyHiA0tQ4=,38
1,41,0,0,99.0,99.0,1,0,0,32.0,32.0,32.0,32.0,32.0,32.0,3,3,2,2,3,3,2,2,sCyjdho1QQ3v6n9nXm+sOfgQIO/zom9qdlCrbmYT1LI=,40
1,36,0,0,180.0,180.0,1,1,-2,1464.0,1464.0,1464.0,732.0,732.0,732.0,2,2,2,2,2,2,2,2,sSgps+PLKmiKvzOcylFkvhMylmpzeSVbvXDKZs3XTVM=,31
43,41,0,0,139.51162790697674,140.86046511627907,43,0,126024,1227.2093023255813,1474.0,2.0,1493.5348837209303,2970.0,40.0,3,3,4,1,3,1,4,1,t7H6ydZ66ET/X3DGMrtcgwsSvMLuKbtMsomF9iWUb5U=,40
3,39,0,0,149.0,149.0,3,0,-154,277.3333333333333,750.0,34.0,17.333333333333332,24.0,4.0,3,3,2,1,1,1,3,2,uwzO5ENehZ86T+fkHiZCl+GXfCKoiVi28huM7/izNtA=,36
1,40,0,0,149.0,149.0,1,1,44,1402.0,1402.0,1402.0,740.0,740.0,740.0,1,1,2,2,3,3,2,2,v/KMf6YjQRLkrmCVagcc8rF1ILYUHQlpmqB2C8Q/Zvo=,38
1,40,0,0,149.0,149.0,1,0,-2,1414.0,1414.0,1414.0,1508.0,1508.0,1508.0,1,1,2,2,1,1,2,2,vHxrUyq7vny3LBRlqTsnIgC3+LbsqL4rjQtCd73do2c=,38
1,41,0,0,99.0,99.0,1,0,-2,0.0,0.0,0.0,54.0,54.0,54.0,3,3,2,2,3,3,2,2,vghN5XEdUZiC4g9IVW4fJ4668fr7ani8fQ2/ZpfbSJY=,40
1,41,0,0,99.0,99.0,1,1,0,2.0,2.0,2.0,4.0,4.0,4.0,3,3,2,2,3,3,2,2,wIb9Mfozs0GDkTM3Gyoem5A9/Vs5KoYp2/nZpmkXBLQ=,40
1,32,400,1,1599.0,1599.0,0,0,748,698.0,698.0,698.0,728.0,728.0,728.0,1,1,2,2,2,2,2,2,yOj468+M8BrpPpIQRPHGbVL/scPoj1mIBUpwm4i34T8=,24
1,40,0,0,149.0,149.0,1,1,24,1426.0,1426.0,1426.0,742.0,742.0,742.0,1,1,2,2,3,3,2,2,zQ8eEnJMgyyZmbFe0JCmncrQGJqeyII1K+xLn8WWN/A=,38
1,41,0,0,99.0,99.0,1,0,0,34.0,34.0,34.0,34.0,34.0,34.0,3,3,2,2,3,3,2,2,0ZgpRDSVFz4v2I0YU0ijXxIthQ4dCZ4KBbmca74Tc60=,40
1,41,0,0,149.0,149.0,1,0,0,8.0,8.0,8.0,50.0,50.0,50.0,3,3,2,2,3,3,2,2,4gQyz18a2mgMHDbhO2d2J1zOQmcYIKQR376tlspTmxc=,40
1,41,0,0,99.0,99.0,1,0,0,1422.0,1422.0,1422.0,2970.0,2970.0,2970.0,1,1,2,2,1,1,2,2,601DgdiBSZ/SP1X4RtmpByBC/3OgeyGpRSrtw22C8BM=,40
2,36,0,0,180.0,180.0,2,0,8,1448.0,1482.0,1414.0,1112.0,2190.0,34.0,3,1,2,2,3,1,2,2,9ERaehpLoOYV7JRE2ETdcvmzS17ULq5Rpr1bSsk7hJo=,31
2,39,0,0,149.0,149.0,2,0,-78,27.0,54.0,0.0,42.0,42.0,42.0,3,3,2,1,1,1,2,2,A8+TwhgOYN6wS6Ytxshaydu1Eg0hXMI+fOWhYLGnlWo=,36
1,38,0,0,149.0,149.0,0,0,-2,8.0,8.0,8.0,26.0,26.0,26.0,2,2,2,2,2,2,2,2,BW/1wQJNE4FnConXxOAYrsu5hhd7yr0lh7toZFJF9fw=,34
1,38,90,1,447.0,447.0,0,0,-4,6.0,6.0,6.0,2.0,2.0,2.0,3,3,2,2,2,2,3,3,C36OMTBy9MK6XBRS4Nje41AGJQZ2E2aQ9M2itHxuouI=,34
1,37,0,0,149.0,149.0,1,0,-2,1444.0,1444.0,1444.0,1480.0,1480.0,1480.0,3,3,2,2,3,3,2,2,CkFixTx8DCuvWfUmjHYy0A/TbYy9XYvmM3BYty/VZ7Y=,33
2,39,0,0,149.0,149.0,2,1,-68,729.0,1446.0,12.0,1467.0,2908.0,26.0,3,3,2,1,1,1,2,2,DWNScT+xmU5EIZGLVq6aNCbbxnNuCWsrZ7cWO6Yu9e0=,36
1,36,0,0,180.0,180.0,1,0,-54,1458.0,1458.0,1458.0,732.0,732.0,732.0,3,3,2,2,1,1,2,2,F45GsXJIeLvzUJqz/v4R/6CVYPdek7K4Leu+aqbCRo8=,31
1,41,0,0,99.0,99.0,1,0,0,1418.0,1418.0,1418.0,784.0,784.0,784.0,1,1,2,2,1,1,2,2,F6bAeRNc1516fzPQ/omXNNgRJDvt9dIFKbCNXLR1T7M=,40
1,32,195,1,894.0,894.0,0,0,-32,1470.0,1470.0,1470.0,28.0,28.0,28.0,3,3,2,2,1,1,4,4,J+jLxEH+i60Po/AgA4K5nXsM+rbAXPquSrJhtLNKdtY=,24
1,34,0,0,149.0,149.0,1,0,-2,1474.0,1474.0,1474.0,48.0,48.0,48.0,3,3,2,2,3,3,2,2,KntDfzuxHRAx+Q8QTEvi/uBHJ1UaowIj+Jz5DnUK3qg=,28
1,38,90,1,477.0,477.0,0,0,-4,32.0,32.0,32.0,36.0,36.0,36.0,2,2,2,2,1,1,3,3,LYdsx0hgUtTRRjqkF0aEVC3Tw9fOgJRoE5/MHSesuzU=,34
9,40,0,0,149.0,149.0,9,0,4248,734.6666666666666,1454.0,2.0,177.33333333333334,760.0,4.0,3,3,4,1,2,2,4,1,Oct3bSYG/Lcino5bDn34dFqjrTgB0kiq9VOHapvKHQI=,38
1,32,195,1,894.0,894.0,0,0,-32,38.0,38.0,38.0,10.0,10.0,10.0,3,3,2,2,2,2,4,4,P9mKRNuvfNxGTZ+7LJUiedZDffQAKpbcPBDUeAIjcrw=,24
2,17,150,2,150.0,150.0,0,0,10,358.0,700.0,16.0,10.0,14.0,6.0,2,2,2,2,2,2,3,2,Po4tttsYGhBe26luhWX1ZkevrL/EWJiNv0GFNvMNk28=,7
1,40,0,0,149.0,149.0,1,0,-2,28.0,28.0,28.0,30.0,30.0,30.0,1,1,2,2,1,1,2,2,QQmqmwHIWmtA0hufs7iavDL2N9PM9/zo5gHL0iivgzI=,38
2,39,0,0,149.0,149.0,2,0,2,751.0,1482.0,20.0,697.0,714.0,680.0,3,3,2,1,3,3,2,2,SWOajkcpUsBDhU11QVDtSuLk4VrMkuh6LWS6oKUdDSE=,36
1,27,0,0,149.0,149.0,1,0,-2,6.0,6.0,6.0,8.0,8.0,8.0,1,1,2,2,1,1,2,2,SdMM4gKFIuRc29mhS4FzHkC0vsLQ8qwqpzMdwQiWo58=,16
1,41,0,0,149.0,149.0,1,0,0,20.0,20.0,20.0,24.0,24.0,24.0,2,2,2,2,2,2,2,2,WGf4x4dpxsZiL5zRZb9ul37eTes7234W1CsKulWFKY4=,40
1,38,90,1,477.0,477.0,0,0,-4,18.0,18.0,18.0,14.0,14.0,14.0,2,2,2,2,2,2,3,3,X10ng21DfA9NGogOUy7Zupa+xN3Zi1jyC+eEshlWN+Q=,34
4,40,0,0,149.0,149.0,4,0,624,740.5,1480.0,28.0,191.5,744.0,0.0,3,3,2,1,2,1,3,2,XUD2iWQRlFMKHpwC8XkmbMSk4uToiFjLcXXLV4szxDg=,38
2,38,120,1,74.5,74.5,0,0,10,735.0,1460.0,10.0,376.0,736.0,16.0,2,2,2,2,2,2,2,2,YI0ryhHWui9Mv97DSK2sdjvQCJRJfoOhDjAid+qwz5k=,34
1,31,0,0,149.0,149.0,1,0,-2,18.0,18.0,18.0,14.0,14.0,14.0,3,3,2,2,3,3,2,2,Zjfy9tkZpL5AkcFXVTFoXy9814iQegoQtJPWDEF6QpU=,23
1,37,0,0,149.0,149.0,1,1,0,1430.0,1430.0,1430.0,1490.0,1490.0,1490.0,2,2,2,2,2,2,2,2,a4J3Y7y5o5ePmdMMslWx3XlBkdxs/bLXbweNq2ZTLH0=,33
1,41,0,0,149.0,149.0,1,0,0,1438.0,1438.0,1438.0,28.0,28.0,28.0,1,1,2,2,1,1,2,2,aUDF0qSVgBO291OAYTox/fUL8DKWtFjKayIdRZIPR3g=,40
1,41,0,0,99.0,99.0,1,0,0,54.0,54.0,54.0,22.0,22.0,22.0,1,1,2,2,1,1,2,2,bM4dsvH5shLugNb/ogBYdTNZTc/i84q10OkHY4PdI6g=,40
3,41,0,0,115.66666666666667,115.66666666666667,3,0,6,500.6666666666667,1478.0,4.0,246.66666666666666,712.0,4.0,3,2,2,1,3,2,2,2,cQmIxT9qFhnQM3ELY3DHQWHjuNyW9121eGf1Rxas/S8=,40
1,41,0,0,100.0,100.0,1,0,0,1474.0,1474.0,1474.0,726.0,726.0,726.0,3,3,2,2,3,3,2,2,dvnibbCUBEA7ZUM7txxQPfYORpie1D6cHTYKnfDAJZs=,40
1,32,410,1,1788.0,1788.0,0,0,766,26.0,26.0,26.0,768.0,768.0,768.0,1,1,2,2,3,3,2,2,f4+JaEYNc77lvYnrO+Mb9CIvcyJiN8OIKxyhlf/1u/8=,24
2,41,0,0,99.0,99.0,2,0,2,731.0,1436.0,26.0,1118.0,2214.0,22.0,2,2,2,1,2,2,2,2,fU4e3yiLH3egpz4SsD88A1JGQsq0w6XVTh+sKoUd/OA=,40
1,40,0,0,149.0,149.0,1,1,-2,2.0,2.0,2.0,4.0,4.0,4.0,2,2,2,2,2,2,2,2,g6HvHOAMPBvO7xNfy3QGCynPMI3jZifbxFMSnKZJWiE=,38
1,38,90,1,477.0,477.0,0,0,-2,28.0,28.0,28.0,30.0,30.0,30.0,1,1,2,2,1,1,3,3,hQwq7eWLh04U+RsQHg0UfHD+06LLqUrOTgune6vwEk4=,34
1,41,0,0,99.0,99.0,1,0,0,22.0,22.0,22.0,22.0,22.0,22.0,2,2,2,2,2,2,2,2,hrJ0NoC+BjSGu8bFqtvTNvSoA8uRdm93CYJg7LYS5KE=,40
1,41,0,0,99.0,99.0,1,0,-2,0.0,0.0,0.0,50.0,50.0,50.0,3,3,2,2,3,3,2,2,ilpKYrGwkVCiC/yci6g+cdWIqkXAWp6BKLY77FKaweM=,40
1,41,0,0,149.0,149.0,1,0,0,1458.0,1458.0,1458.0,740.0,740.0,740.0,2,2,2,2,2,2,2,2,lJdcibHo0+oQegJidjaq20Xcdp0d7yOO61eUMBxS8MU=,40
1,40,0,0,149.0,149.0,1,0,-2,4.0,4.0,4.0,6.0,6.0,6.0,2,2,2,2,2,2,2,2,n6dkRRzsqlu/hE/oqEFubTvmVFGEGShyaAzuEbYShho=,38
1,32,180,1,536.0,536.0,0,0,0,730.0,730.0,730.0,36.0,36.0,36.0,3,3,2,2,3,3,4,4,ntueatCenqDiY9I1eFcJekcuAoDlOjKsdlSKsiSEakI=,24
1,33,0,0,149.0,149.0,1,0,-2,38.0,38.0,38.0,38.0,38.0,38.0,3,3,2,2,3,3,2,2,otEcMhAX3mU4gumUSogqgteN3oaNmhdmTkoof2iRYEE=,26
2,41,0,0,129.0,129.0,2,0,6,21.0,30.0,12.0,25.0,34.0,16.0,3,3,2,1,3,3,2,2,qfc7GYp94uRh+F0PvX05quOYXXzL+xctpw++4VkVHuo=,40
1,40,0,0,149.0,149.0,1,0,-2,28.0,28.0,28.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,r9ma0H2MHvIfbbtZWmLMvCJUNMEuQTU70fnGMbofjvw=,38
1,38,0,0,149.0,149.0,0,0,-2,28.0,28.0,28.0,28.0,28.0,28.0,2,2,2,2,2,2,2,2,sfFVE2Q7zllwZBmCLMooJ9HxydbawsyAJqqxqWZK/UI=,34
1,36,0,0,180.0,180.0,0,0,-2,6.0,6.0,6.0,40.0,40.0,40.0,3,3,2,2,3,3,2,2,u0P5vSUF3xIO/ka7RX9JT+DyTxbf5Ev+McDUCUBmzHo=,30
1,29,0,0,180.0,180.0,0,0,-2,1446.0,1446.0,1446.0,750.0,750.0,750.0,2,2,2,2,2,2,2,2,wCBLjyX3nUOdnkZT/bGvf/c2ynJKKTem715aVMj48KY=,18
1,41,0,0,129.0,129.0,1,0,2,18.0,18.0,18.0,20.0,20.0,20.0,2,2,2,2,2,2,2,2,wlnStm3XmOLlqcA/DdfrNEHr1tzVBoP2K/vbUFFNGu8=,40
1,41,0,0,99.0,99.0,1,0,0,18.0,18.0,18.0,18.0,18.0,18.0,1,1,2,2,1,1,2,2,zdHfVa57QLJ0Pv1LFwK3L2u8NpKm5cMDB26FcHq+lzA=,40
1,38,195,1,894.0,894.0,0,0,-38,16.0,16.0,16.0,22.0,22.0,22.0,3,3,2,2,1,1,4,4,+PW9ofkAxxsjuC5mqlgxt9OKqJr5KjojEK1rEwcm+UY=,34
2,41,0,0,99.0,99.0,2,1,0,11.0,22.0,0.0,9.0,18.0,0.0,3,2,2,2,3,2,2,2,/EgrwjvelDxhLf/wW+mXF8xh4jOWfvyRy+xzeVWvNNo=,40
1,38,0,0,149.0,149.0,0,0,14,14.0,14.0,14.0,0.0,0.0,0.0,1,1,2,2,2,2,2,2,43tP5vGn7nVN++Fekm4Hhnqk88BTY3rUb0wifKN8IKs=,34
2,41,0,0,99.0,99.0,2,1,0,23.0,36.0,10.0,21.0,34.0,8.0,2,1,2,2,2,1,2,2,4Ddv8Hi8jPwi5+Ri2Ln18W+S6OkwRvU847cXiLT/Ph4=,40
1,40,0,0,149.0,149.0,1,0,-2,726.0,726.0,726.0,8.0,8.0,8.0,2,2,2,2,2,2,2,2,4dzvZjhaKuNySytiD8R8FAZgQ3oXXqe98kSChiSGpsY=,38
1,41,0,0,149.0,149.0,1,0,0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,2,2,1,1,2,2,56Z0abPjqWmG5yemRggESiPDqzDkmFyDZ5qeZYwvM7Y=,40
1,38,90,1,447.0,447.0,0,0,-4,36.0,36.0,36.0,26.0,26.0,26.0,1,1,2,2,1,1,3,3,8D1qJBdCBgQWT1vQUKiVJx0VX5CEk4qfYUaB5/n4WsE=,34
1,32,195,1,894.0,894.0,0,0,28,6.0,6.0,6.0,16.0,16.0,16.0,1,1,2,2,3,3,4,4,AKZNktiVbiDxV6Un0C84th9hKQPn/NwGXNffbVbR9Ps=,24
2,39,0,0,149.0,149.0,2,1,-78,3.0,6.0,0.0,43.0,44.0,42.0,3,3,2,1,1,1,2,2,BKoi8Sae3+hTnY3KhVXnSpiVV/7fV6P0zj7dMJCyxKg=,36
1,32,410,1,1788.0,1788.0,0,0,708,2.0,2.0,2.0,710.0,710.0,710.0,3,3,2,2,2,2,2,2,ExcqmgNIRLGTD7X2DXLysHy2wwj/cCXyXn46qXje5Qk=,24
1,40,0,0,149.0,149.0,1,0,4,692.0,692.0,692.0,22.0,22.0,22.0,1,1,2,2,1,1,2,2,JDAJ70ukUfD5letDnIVXTL4aaVTBttc5EFvyU8LBUGk=,38
1,29,0,0,180.0,180.0,1,0,4,10.0,10.0,10.0,14.0,14.0,14.0,2,2,2,2,2,2,2,2,LrmLqRR1Q3VXT6EhxcjMiBHM8R3VfNrFuNy2P2mIWFw=,19
1,41,0,0,129.0,129.0,1,1,0,48.0,48.0,48.0,48.0,48.0,48.0,1,1,2,2,1,1,2,2,MLCIcNFDMw5AnIUo6qs3Ug63vFSqdx2WMGhb6jiTEbg=,40
1,41,0,0,99.0,99.0,1,0,0,1434.0,1434.0,1434.0,2216.0,2216.0,2216.0,2,2,2,2,2,2,2,2,NpUlnxcqL2vN3zb+lWJAVT1t3kAsnDlqqbTBuIx7pz0=,40
3,39,0,0,149.0,149.0,3,0,-154,8.666666666666666,20.0,0.0,26.0,52.0,2.0,3,3,2,1,1,1,3,2,QECRw13gAVeQpGZ5TnlhawGBUUWgf29B7V0BUu71lW0=,36
4,41,0,0,99.0,99.0,4,0,688,726.5,1428.0,34.0,379.0,1502.0,2.0,2,2,2,1,1,1,3,2,R1/rThRsVm1UTdpmc7gGwuDej29Udws3ooML+CijROs=,40
1,32,410,1,1788.0,1788.0,0,0,764,30.0,30.0,30.0,730.0,730.0,730.0,2,2,2,2,3,3,2,2,Rj6OGMA31hMz27zBzGAme85ALxf4XD8TVEDUlkLHNA0=,24
1,40,0,0,149.0,149.0,1,0,10,20.0,20.0,20.0,6.0,6.0,6.0,1,1,2,2,1,1,2,2,RmV0ufDGDUF/OCejD16mlOof42SFnLozsLJqAK3baVo=,38
2,41,0,0,129.0,129.0,2,0,-6,744.0,1454.0,34.0,754.0,1476.0,32.0,3,3,2,1,2,2,2,2,SI4+QtFe3Fo3l38Gp4hQD2KnsFNMnzOeTA2ENCRE27o=,40
1,41,0,0,99.0,99.0,1,0,0,6.0,6.0,6.0,32.0,32.0,32.0,2,2,2,2,2,2,2,2,SPCS5vHp4C4GP6OMUhK3mJ7wJHHSCYx0WC1LsrkaKW8=,40
1,40,0,0,149.0,149.0,1,0,-2,20.0,20.0,20.0,20.0,20.0,20.0,1,1,2,2,1,1,2,2,ScpEQ+mHdhYLgOPyvw88fxO1c8AROnYnVNkyGKuJ6H8=,38
1,41,0,0,149.0,149.0,1,0,0,1450.0,1450.0,1450.0,2202.0,2202.0,2202.0,3,3,2,2,3,3,2,2,TUa2QR0DgJ2m39bckcq0IY+W1JZL7pwgWxMJ5+wB7/8=,40
3,35,607,3,800.0,800.0,0,0,752,491.3333333333333,1414.0,12.0,961.3333333333334,2186.0,4.0,1,1,2,2,1,1,4,2,WZmqK7ororn7jLHsScc1E5ojfbpEu92rcc7LXOJseBM=,29
1,41,0,0,99.0,99.0,1,0,0,50.0,50.0,50.0,0.0,0.0,0.0,1,1,2,2,1,1,2,2,XGeWkqYlMvN9zvWp/Ogps7kLmFudiwMX8o2lHGK59a4=,40
